location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
United Kingdom,England,2021-01-10,GB,GB-ENG,2333764,1959151,374613
United Kingdom,England,2021-01-11,GB,GB-ENG,2474205,2080280,393925
United Kingdom,England,2021-01-12,GB,GB-ENG,2661850,2254556,407294
United Kingdom,England,2021-01-13,GB,GB-ENG,2910027,2494371,415656
United Kingdom,England,2021-01-14,GB,GB-ENG,3189674,2769164,420510
United Kingdom,England,2021-01-15,GB,GB-ENG,3514385,3090058,424327
United Kingdom,England,2021-01-16,GB,GB-ENG,3791594,3365492,426102
United Kingdom,England,2021-01-17,GB,GB-ENG,3947442,3520056,427386
United Kingdom,England,2021-01-18,GB,GB-ENG,4118342,3687206,431136
United Kingdom,England,2021-01-19,GB,GB-ENG,4419704,3985579,434125
United Kingdom,England,2021-01-20,GB,GB-ENG,4740578,4303730,436848
United Kingdom,England,2021-01-21,GB,GB-ENG,5100475,4661293,439182
United Kingdom,England,2021-01-22,GB,GB-ENG,5526071,5085771,440300
United Kingdom,England,2021-01-23,GB,GB-ENG,5970175,5529101,441074
United Kingdom,England,2021-01-24,GB,GB-ENG,6169377,5727693,441684
United Kingdom,England,2021-01-25,GB,GB-ENG,6405554,5962544,443010
United Kingdom,England,2021-01-26,GB,GB-ENG,6665861,6221850,444011
United Kingdom,England,2021-01-27,GB,GB-ENG,6918853,6473752,445101
United Kingdom,England,2021-01-28,GB,GB-ENG,7263317,6816945,446372
United Kingdom,England,2021-01-29,GB,GB-ENG,7701203,7253305,447898
United Kingdom,England,2021-01-30,GB,GB-ENG,8251146,7792996,458150
United Kingdom,England,2021-01-31,GB,GB-ENG,8543262,8082355,460907
United Kingdom,England,2021-02-01,GB,GB-ENG,8825371,8362868,462503
United Kingdom,England,2021-02-02,GB,GB-ENG,9126930,8663041,463889
United Kingdom,England,2021-02-03,GB,GB-ENG,9508006,9041835,466171
United Kingdom,England,2021-02-04,GB,GB-ENG,9899043,9430261,468782
United Kingdom,England,2021-02-05,GB,GB-ENG,10302620,9831897,470723
United Kingdom,England,2021-02-06,GB,GB-ENG,10761539,10290215,471324
United Kingdom,England,2021-02-07,GB,GB-ENG,10991365,10519729,471636
United Kingdom,England,2021-02-08,GB,GB-ENG,11245053,10771998,473055
United Kingdom,England,2021-02-09,GB,GB-ENG,11558880,11083652,475228
United Kingdom,England,2021-02-10,GB,GB-ENG,11901827,11422507,479320
United Kingdom,England,2021-02-11,GB,GB-ENG,12293207,11809241,483966
United Kingdom,England,2021-02-12,GB,GB-ENG,12733865,12246166,487699
United Kingdom,England,2021-02-13,GB,GB-ENG,13165548,12675663,489885
United Kingdom,England,2021-02-14,GB,GB-ENG,13353631,12862909,490722
United Kingdom,England,2021-02-15,GB,GB-ENG,13575245,13082669,492576
United Kingdom,England,2021-02-16,GB,GB-ENG,13891042,13395338,495704
United Kingdom,England,2021-02-17,GB,GB-ENG,14318115,13817914,500201
United Kingdom,England,2021-02-18,GB,GB-ENG,14718938,14214176,504762
United Kingdom,England,2021-02-19,GB,GB-ENG,15046635,14537978,508657
United Kingdom,England,2021-02-20,GB,GB-ENG,15355176,14844087,511089
United Kingdom,England,2021-02-21,GB,GB-ENG,15471509,14958074,513435
United Kingdom,England,2021-02-22,GB,GB-ENG,15631937,15113158,518779
United Kingdom,England,2021-02-23,GB,GB-ENG,15926415,15398055,528360
United Kingdom,Northern Ireland,2021-01-10,GB,GB-NIR,91954,78005,13949
United Kingdom,Northern Ireland,2021-01-11,GB,GB-NIR,99475,84187,15288
United Kingdom,Northern Ireland,2021-01-12,GB,GB-NIR,109257,91417,17840
United Kingdom,Northern Ireland,2021-01-13,GB,GB-NIR,121711,102701,19010
United Kingdom,Northern Ireland,2021-01-14,GB,GB-NIR,133831,114567,19264
United Kingdom,Northern Ireland,2021-01-15,GB,GB-NIR,137380,117906,19474
United Kingdom,Northern Ireland,2021-01-16,GB,GB-NIR,140561,120387,20174
United Kingdom,Northern Ireland,2021-01-17,GB,GB-NIR,146733,125717,21016
United Kingdom,Northern Ireland,2021-01-18,GB,GB-NIR,154436,132857,21579
United Kingdom,Northern Ireland,2021-01-19,GB,GB-NIR,160396,138436,21960
United Kingdom,Northern Ireland,2021-01-20,GB,GB-NIR,166538,144212,22326
United Kingdom,Northern Ireland,2021-01-21,GB,GB-NIR,173549,151039,22510
United Kingdom,Northern Ireland,2021-01-22,GB,GB-NIR,177026,154366,22660
United Kingdom,Northern Ireland,2021-01-23,GB,GB-NIR,178331,155644,22687
United Kingdom,Northern Ireland,2021-01-24,GB,GB-NIR,182355,159642,22713
United Kingdom,Northern Ireland,2021-01-25,GB,GB-NIR,186112,163317,22795
United Kingdom,Northern Ireland,2021-01-26,GB,GB-NIR,191050,168140,22910
United Kingdom,Northern Ireland,2021-01-27,GB,GB-NIR,199211,175284,23927
United Kingdom,Northern Ireland,2021-01-28,GB,GB-NIR,220201,196131,24070
United Kingdom,Northern Ireland,2021-01-29,GB,GB-NIR,228211,204065,24146
United Kingdom,Northern Ireland,2021-01-30,GB,GB-NIR,238924,214601,24323
United Kingdom,Northern Ireland,2021-01-31,GB,GB-NIR,246421,221809,24612
United Kingdom,Northern Ireland,2021-02-01,GB,GB-NIR,258311,233429,24882
United Kingdom,Northern Ireland,2021-02-02,GB,GB-NIR,271826,246671,25155
United Kingdom,Northern Ireland,2021-02-03,GB,GB-NIR,289274,263735,25539
United Kingdom,Northern Ireland,2021-02-04,GB,GB-NIR,301279,275232,26047
United Kingdom,Northern Ireland,2021-02-05,GB,GB-NIR,316420,289889,26531
United Kingdom,Northern Ireland,2021-02-06,GB,GB-NIR,323122,295915,27207
United Kingdom,Northern Ireland,2021-02-07,GB,GB-NIR,330941,303478,27463
United Kingdom,Northern Ireland,2021-02-08,GB,GB-NIR,345195,317606,27589
United Kingdom,Northern Ireland,2021-02-09,GB,GB-NIR,361430,333658,27772
United Kingdom,Northern Ireland,2021-02-10,GB,GB-NIR,381894,353757,28137
United Kingdom,Northern Ireland,2021-02-11,GB,GB-NIR,401966,373414,28552
United Kingdom,Northern Ireland,2021-02-12,GB,GB-NIR,416708,387771,28937
United Kingdom,Northern Ireland,2021-02-13,GB,GB-NIR,420077,391101,28976
United Kingdom,Northern Ireland,2021-02-14,GB,GB-NIR,426248,397243,29005
United Kingdom,Northern Ireland,2021-02-15,GB,GB-NIR,438708,409507,29201
United Kingdom,Northern Ireland,2021-02-16,GB,GB-NIR,447685,418209,29476
United Kingdom,Northern Ireland,2021-02-17,GB,GB-NIR,457581,427569,30012
United Kingdom,Northern Ireland,2021-02-18,GB,GB-NIR,466524,436143,30381
United Kingdom,Northern Ireland,2021-02-19,GB,GB-NIR,473670,442917,30753
United Kingdom,Northern Ireland,2021-02-20,GB,GB-NIR,476816,446009,30807
United Kingdom,Northern Ireland,2021-02-21,GB,GB-NIR,488826,458030,30796
United Kingdom,Northern Ireland,2021-02-22,GB,GB-NIR,499206,468129,31077
