location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Germany,Baden-Wurttemberg,2020-12-26,DE,DE-BW,0,0,0
Germany,Baden-Wurttemberg,2020-12-27,DE,DE-BW,2084,2084,0
Germany,Baden-Wurttemberg,2020-12-29,DE,DE-BW,4721,4721,0
Germany,Baden-Wurttemberg,2020-12-30,DE,DE-BW,12649,12649,0
Germany,Baden-Wurttemberg,2020-12-31,DE,DE-BW,17086,17086,0
Germany,Baden-Wurttemberg,2021-01-01,DE,DE-BW,20045,20045,0
Germany,Baden-Wurttemberg,2021-01-02,DE,DE-BW,24063,24063,0
Germany,Baden-Wurttemberg,2021-01-03,DE,DE-BW,27454,27454,0
Germany,Baden-Wurttemberg,2021-01-04,DE,DE-BW,32182,32182,0
Germany,Baden-Wurttemberg,2021-01-05,DE,DE-BW,37840,37840,0
Germany,Baden-Wurttemberg,2021-01-06,DE,DE-BW,42899,42899,0
Germany,Baden-Wurttemberg,2021-01-07,DE,DE-BW,49103,49103,0
Germany,Baden-Wurttemberg,2021-01-08,DE,DE-BW,55320,55320,0
Germany,Baden-Wurttemberg,2021-01-10,DE,DE-BW,65488,65488,0
Germany,Baden-Wurttemberg,2021-01-11,DE,DE-BW,73776,73776,0
Germany,Baden-Wurttemberg,2021-01-12,DE,DE-BW,76762,76762,0
Germany,Baden-Wurttemberg,2021-01-13,DE,DE-BW,82300,82300,0
Germany,Baden-Wurttemberg,2021-01-14,DE,DE-BW,92868,92868,0
Germany,Baden-Wurttemberg,2021-01-15,DE,DE-BW,100163,100163,0
Germany,Baden-Wurttemberg,2021-01-17,DE,DE-BW,114954,114954,0
Germany,Baden-Wurttemberg,2021-01-18,DE,DE-BW,126514,122057,4457
Germany,Baden-Wurttemberg,2021-01-19,DE,DE-BW,135907,128128,7779
Germany,Baden-Wurttemberg,2021-01-20,DE,DE-BW,146800,135209,11591
Germany,Baden-Wurttemberg,2021-01-21,DE,DE-BW,158060,142511,15549
Germany,Baden-Wurttemberg,2021-01-22,DE,DE-BW,173772,154818,18954
Germany,Baden-Wurttemberg,2021-01-24,DE,DE-BW,197488,171338,26150
Germany,Baden-Wurttemberg,2021-01-25,DE,DE-BW,210862,180411,30451
Germany,Baden-Wurttemberg,2021-01-26,DE,DE-BW,228138,189426,38712
Germany,Baden-Wurttemberg,2021-01-27,DE,DE-BW,242556,198902,43654
Germany,Baden-Wurttemberg,2021-01-28,DE,DE-BW,255597,206594,49003
Germany,Baden-Wurttemberg,2021-01-29,DE,DE-BW,271908,217101,54807
Germany,Baden-Wurttemberg,2021-01-31,DE,DE-BW,295508,230919,64589
Germany,Baden-Wurttemberg,2021-02-01,DE,DE-BW,308205,238397,69808
Germany,Baden-Wurttemberg,2021-02-02,DE,DE-BW,321814,245773,76041
Germany,Baden-Wurttemberg,2021-02-03,DE,DE-BW,335873,253549,82324
Germany,Baden-Wurttemberg,2021-02-04,DE,DE-BW,349240,259979,89261
Germany,Baden-Wurttemberg,2021-02-05,DE,DE-BW,365886,269728,96158
Germany,Baden-Wurttemberg,2021-02-07,DE,DE-BW,391707,285065,106642
Germany,Baden-Wurttemberg,2021-02-08,DE,DE-BW,405844,292646,113198
Germany,Baden-Wurttemberg,2021-02-09,DE,DE-BW,421154,301407,119747
Germany,Baden-Wurttemberg,2021-02-10,DE,DE-BW,436223,310601,125622
Germany,Baden-Wurttemberg,2021-02-11,DE,DE-BW,450592,319080,131512
Germany,Baden-Wurttemberg,2021-02-12,DE,DE-BW,470110,328058,142052
Germany,Baden-Wurttemberg,2021-02-14,DE,DE-BW,499649,341642,158007
Germany,Baden-Wurttemberg,2021-02-15,DE,DE-BW,515281,349631,165650
Germany,Baden-Wurttemberg,2021-02-16,DE,DE-BW,533825,361212,172613
Germany,Baden-Wurttemberg,2021-02-17,DE,DE-BW,552335,371095,181240
Germany,Baden-Wurttemberg,2021-02-18,DE,DE-BW,569869,381277,188592
Germany,Baden-Wurttemberg,2021-02-19,DE,DE-BW,593476,394169,199307
Germany,Baden-Wurttemberg,2021-02-21,DE,DE-BW,626756,412902,213854
Germany,Baden-Wurttemberg,2021-02-22,DE,DE-BW,645641,423662,221979
Germany,Baden-Wurttemberg,2021-02-23,DE,DE-BW,665759,436296,229463
Germany,Baden-Wurttemberg,2021-02-24,DE,DE-BW,688239,450121,238118
Germany,Baden-Wurttemberg,2021-02-25,DE,DE-BW,713401,467993,245408
Germany,Baden-Wurttemberg,2021-02-26,DE,DE-BW,741692,487390,254302
Germany,Baden-Wurttemberg,2021-02-28,DE,DE-BW,787665,518788,268877
Germany,Baden-Wurttemberg,2021-03-01,DE,DE-BW,815647,539877,275770
Germany,Baden-Wurttemberg,2021-03-02,DE,DE-BW,846112,563026,283086
Germany,Baden-Wurttemberg,2021-03-03,DE,DE-BW,879933,587809,292124
Germany,Baden-Wurttemberg,2021-03-04,DE,DE-BW,912712,612465,300247
Germany,Baden-Wurttemberg,2021-03-05,DE,DE-BW,947812,638174,309638
Germany,Baden-Wurttemberg,2021-03-07,DE,DE-BW,1006941,683111,323830
Germany,Baden-Wurttemberg,2021-03-08,DE,DE-BW,1039487,708117,331370
Germany,Baden-Wurttemberg,2021-03-09,DE,DE-BW,1075693,735577,340116
Germany,Baden-Wurttemberg,2021-03-10,DE,DE-BW,1110507,760957,349550
Germany,Baden-Wurttemberg,2021-03-11,DE,DE-BW,1146529,787088,359441
Germany,Baden-Wurttemberg,2021-03-12,DE,DE-BW,1183627,813088,370539
Germany,Baden-Wurttemberg,2021-03-14,DE,DE-BW,1243998,858236,385762
Germany,Baden-Wurttemberg,2021-03-15,DE,DE-BW,1276282,883965,392317
Germany,Baden-Wurttemberg,2021-03-16,DE,DE-BW,1301930,901203,400727
Germany,Baden-Wurttemberg,2021-03-17,DE,DE-BW,1327821,917558,410263
Germany,Baden-Wurttemberg,2021-03-18,DE,DE-BW,1354882,934964,419918
Germany,Baden-Wurttemberg,2021-03-19,DE,DE-BW,1389334,958151,431183
Germany,Baden-Wurttemberg,2021-03-21,DE,DE-BW,1449722,1002604,447118
Germany,Baden-Wurttemberg,2021-03-22,DE,DE-BW,1483699,1028176,455523
Germany,Baden-Wurttemberg,2021-03-23,DE,DE-BW,1518372,1054875,463497
Germany,Baden-Wurttemberg,2021-03-24,DE,DE-BW,1553969,1080589,473380
Germany,Baden-Wurttemberg,2021-03-25,DE,DE-BW,1575899,1093673,482226
Germany,Baden-Wurttemberg,2021-03-26,DE,DE-BW,1628665,1134891,493774
Germany,Baden-Wurttemberg,2021-03-28,DE,DE-BW,1700817,1187818,512999
Germany,Baden-Wurttemberg,2021-03-29,DE,DE-BW,1739255,1216957,522298
Germany,Baden-Wurttemberg,2021-03-30,DE,DE-BW,1776248,1243458,532790
Germany,Baden-Wurttemberg,2021-03-31,DE,DE-BW,1815093,1271038,544055
Germany,Baden-Wurttemberg,2021-04-02,DE,DE-BW,1889257,1328134,561123
Germany,Baden-Wurttemberg,2021-04-05,DE,DE-BW,1978368,1393889,584479
Germany,Baden-Wurttemberg,2021-04-06,DE,DE-BW,2018291,1421665,596626
Germany,Baden-Wurttemberg,2021-04-07,DE,DE-BW,2106573,1492977,613596
Germany,Baden-Wurttemberg,2021-04-08,DE,DE-BW,2198356,1571571,626785
Germany,Baden-Wurttemberg,2021-04-09,DE,DE-BW,2276569,1636894,639675
Germany,Baden-Wurttemberg,2021-04-11,DE,DE-BW,2362530,1701250,661280
Germany,Baden-Wurttemberg,2021-04-12,DE,DE-BW,2409627,1739329,670298
Germany,Baden-Wurttemberg,2021-04-13,DE,DE-BW,2478303,1796409,681894
Germany,Baden-Wurttemberg,2021-04-14,DE,DE-BW,2559741,1867730,692011
Germany,Baden-Wurttemberg,2021-04-15,DE,DE-BW,2656551,1952793,703758
Germany,Baden-Wurttemberg,2021-04-16,DE,DE-BW,2732469,2018983,713486
Germany,Baden-Wurttemberg,2021-04-18,DE,DE-BW,2821920,2093486,728434
Germany,Baden-Wurttemberg,2021-04-19,DE,DE-BW,2873810,2138229,735581
Germany,Baden-Wurttemberg,2021-04-20,DE,DE-BW,2946817,2203519,743298
Germany,Baden-Wurttemberg,2021-04-21,DE,DE-BW,3037222,2287860,749362
Germany,Baden-Wurttemberg,2021-04-22,DE,DE-BW,3119923,2363578,756345
Germany,Baden-Wurttemberg,2021-04-23,DE,DE-BW,3192428,2430116,762312
Germany,Baden-Wurttemberg,2021-04-25,DE,DE-BW,3275983,2502716,773267
Germany,Baden-Wurttemberg,2021-04-26,DE,DE-BW,3326670,2546722,779948
Germany,Baden-Wurttemberg,2021-04-27,DE,DE-BW,3430408,2642004,788404
Germany,Baden-Wurttemberg,2021-04-28,DE,DE-BW,3599964,2796244,803720
Germany,Baden-Wurttemberg,2021-04-29,DE,DE-BW,3726242,2908489,817753
Germany,Baden-Wurttemberg,2021-05-02,DE,DE-BW,3937858,3084030,853828
Germany,Baden-Wurttemberg,2021-05-03,DE,DE-BW,3999912,3134717,865195
Germany,Baden-Wurttemberg,2021-05-04,DE,DE-BW,4105631,3222145,883486
Germany,Baden-Wurttemberg,2021-05-05,DE,DE-BW,4240736,3330709,910044
Germany,Baden-Wurttemberg,2021-05-06,DE,DE-BW,4351257,3419995,931929
Germany,Baden-Wurttemberg,2021-05-07,DE,DE-BW,4448148,3494982,954327
Germany,Baden-Wurttemberg,2021-05-09,DE,DE-BW,4562026,3569951,994296
Germany,Baden-Wurttemberg,2021-05-10,DE,DE-BW,4634755,3618575,1020055
Germany,Baden-Wurttemberg,2021-05-11,DE,DE-BW,4807333,3738960,1074224
Germany,Baden-Wurttemberg,2021-05-13,DE,DE-BW,5057324,3913645,1151943
