location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
France,Auvergne-Rhone-Alpes,2020-12-28,FR,FR-ARA,6,6,0
France,Auvergne-Rhone-Alpes,2020-12-29,FR,FR-ARA,11,11,0
France,Auvergne-Rhone-Alpes,2020-12-30,FR,FR-ARA,16,16,0
France,Auvergne-Rhone-Alpes,2020-12-31,FR,FR-ARA,28,28,0
France,Auvergne-Rhone-Alpes,2021-01-02,FR,FR-ARA,29,29,0
France,Auvergne-Rhone-Alpes,2021-01-04,FR,FR-ARA,201,201,0
France,Auvergne-Rhone-Alpes,2021-01-05,FR,FR-ARA,634,634,0
France,Auvergne-Rhone-Alpes,2021-01-06,FR,FR-ARA,1702,1702,0
France,Auvergne-Rhone-Alpes,2021-01-07,FR,FR-ARA,4305,4305,0
France,Auvergne-Rhone-Alpes,2021-01-08,FR,FR-ARA,7122,7122,0
France,Auvergne-Rhone-Alpes,2021-01-09,FR,FR-ARA,7589,7589,0
France,Auvergne-Rhone-Alpes,2021-01-10,FR,FR-ARA,7741,7741,0
France,Auvergne-Rhone-Alpes,2021-01-11,FR,FR-ARA,11593,11593,0
France,Auvergne-Rhone-Alpes,2021-01-12,FR,FR-ARA,17301,17301,0
France,Auvergne-Rhone-Alpes,2021-01-13,FR,FR-ARA,23781,23781,0
France,Auvergne-Rhone-Alpes,2021-01-14,FR,FR-ARA,31947,31947,0
France,Auvergne-Rhone-Alpes,2021-01-15,FR,FR-ARA,38665,38665,0
France,Auvergne-Rhone-Alpes,2021-01-16,FR,FR-ARA,41408,41408,0
France,Auvergne-Rhone-Alpes,2021-01-17,FR,FR-ARA,42279,42279,0
France,Auvergne-Rhone-Alpes,2021-01-18,FR,FR-ARA,50461,50461,0
France,Auvergne-Rhone-Alpes,2021-01-19,FR,FR-ARA,63869,63869,0
France,Auvergne-Rhone-Alpes,2021-01-20,FR,FR-ARA,78115,78115,0
France,Auvergne-Rhone-Alpes,2021-01-21,FR,FR-ARA,91337,91337,0
France,Auvergne-Rhone-Alpes,2021-01-22,FR,FR-ARA,102644,102644,0
France,Auvergne-Rhone-Alpes,2021-01-23,FR,FR-ARA,107293,107293,0
France,Auvergne-Rhone-Alpes,2021-01-24,FR,FR-ARA,108091,108091,0
France,Auvergne-Rhone-Alpes,2021-01-25,FR,FR-ARA,116174,116174,0
France,Auvergne-Rhone-Alpes,2021-01-26,FR,FR-ARA,127827,127215,612
France,Auvergne-Rhone-Alpes,2021-01-27,FR,FR-ARA,139500,138312,1188
France,Auvergne-Rhone-Alpes,2021-01-28,FR,FR-ARA,152630,150125,2505
France,Auvergne-Rhone-Alpes,2021-01-29,FR,FR-ARA,163420,159636,3784
France,Auvergne-Rhone-Alpes,2021-01-30,FR,FR-ARA,167293,163368,3925
France,Auvergne-Rhone-Alpes,2021-01-31,FR,FR-ARA,167978,164052,3926
France,Auvergne-Rhone-Alpes,2021-02-01,FR,FR-ARA,176858,171085,5773
France,Auvergne-Rhone-Alpes,2021-02-02,FR,FR-ARA,190255,181042,9213
France,Auvergne-Rhone-Alpes,2021-02-03,FR,FR-ARA,204372,191312,13060
France,Auvergne-Rhone-Alpes,2021-02-04,FR,FR-ARA,222708,204162,18546
France,Auvergne-Rhone-Alpes,2021-02-05,FR,FR-ARA,236067,213009,23058
France,Auvergne-Rhone-Alpes,2021-02-06,FR,FR-ARA,240215,216231,23984
France,Auvergne-Rhone-Alpes,2021-02-07,FR,FR-ARA,241204,216787,24417
France,Auvergne-Rhone-Alpes,2021-02-08,FR,FR-ARA,253363,224054,29309
France,Auvergne-Rhone-Alpes,2021-02-09,FR,FR-ARA,271304,233903,37401
France,Auvergne-Rhone-Alpes,2021-02-10,FR,FR-ARA,289085,243228,45857
France,Auvergne-Rhone-Alpes,2021-02-11,FR,FR-ARA,309034,253532,55502
France,Auvergne-Rhone-Alpes,2021-02-12,FR,FR-ARA,326594,263361,63233
France,Auvergne-Rhone-Alpes,2021-02-13,FR,FR-ARA,332484,266977,65507
France,Auvergne-Rhone-Alpes,2021-02-14,FR,FR-ARA,333563,267609,65954
France,Auvergne-Rhone-Alpes,2021-02-15,FR,FR-ARA,347305,273161,74144
France,Auvergne-Rhone-Alpes,2021-02-16,FR,FR-ARA,364292,279564,84728
France,Auvergne-Rhone-Alpes,2021-02-17,FR,FR-ARA,382121,286001,96120
France,Auvergne-Rhone-Alpes,2021-02-18,FR,FR-ARA,400108,292476,107632
France,Auvergne-Rhone-Alpes,2021-02-19,FR,FR-ARA,415803,299041,116762
France,Auvergne-Rhone-Alpes,2021-02-20,FR,FR-ARA,420915,300934,119981
France,Auvergne-Rhone-Alpes,2021-02-21,FR,FR-ARA,421658,301180,120478
France,Auvergne-Rhone-Alpes,2021-02-22,FR,FR-ARA,434719,305565,129154
France,Auvergne-Rhone-Alpes,2021-02-23,FR,FR-ARA,452848,312538,140310
France,Auvergne-Rhone-Alpes,2021-02-24,FR,FR-ARA,471774,319687,152087
France,Auvergne-Rhone-Alpes,2021-02-25,FR,FR-ARA,496776,331365,165411
France,Auvergne-Rhone-Alpes,2021-02-26,FR,FR-ARA,521213,345879,175334
France,Auvergne-Rhone-Alpes,2021-02-27,FR,FR-ARA,529557,351418,178139
France,Auvergne-Rhone-Alpes,2021-02-28,FR,FR-ARA,530607,351974,178633
France,Auvergne-Rhone-Alpes,2021-03-01,FR,FR-ARA,546354,361515,184839
France,Auvergne-Rhone-Alpes,2021-03-02,FR,FR-ARA,569285,375944,193341
France,Auvergne-Rhone-Alpes,2021-03-03,FR,FR-ARA,592499,390838,201661
France,Auvergne-Rhone-Alpes,2021-03-04,FR,FR-ARA,619995,410464,209531
France,Auvergne-Rhone-Alpes,2021-03-05,FR,FR-ARA,651956,435402,216554
France,Auvergne-Rhone-Alpes,2021-03-06,FR,FR-ARA,671969,453364,218605
France,Auvergne-Rhone-Alpes,2021-03-07,FR,FR-ARA,679457,460521,218936
France,Auvergne-Rhone-Alpes,2021-03-08,FR,FR-ARA,698639,473142,225497
France,Auvergne-Rhone-Alpes,2021-03-09,FR,FR-ARA,728652,495800,232852
France,Auvergne-Rhone-Alpes,2021-03-10,FR,FR-ARA,757000,517019,239981
France,Auvergne-Rhone-Alpes,2021-03-11,FR,FR-ARA,794056,546554,247502
France,Auvergne-Rhone-Alpes,2021-03-12,FR,FR-ARA,836908,582516,254392
France,Auvergne-Rhone-Alpes,2021-03-13,FR,FR-ARA,858860,602968,255892
France,Auvergne-Rhone-Alpes,2021-03-14,FR,FR-ARA,863975,607688,256287
France,Auvergne-Rhone-Alpes,2021-03-15,FR,FR-ARA,887470,626845,260625
France,Auvergne-Rhone-Alpes,2021-03-16,FR,FR-ARA,912154,645800,266354
