location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Uruguay,Artigas,2021-02-27,UY,UY-AR,4,4,0
Uruguay,Artigas,2021-03-01,UY,UY-AR,492,492,0
Uruguay,Artigas,2021-03-02,UY,UY-AR,876,876,0
Uruguay,Artigas,2021-03-03,UY,UY-AR,1369,1369,0
Uruguay,Artigas,2021-03-04,UY,UY-AR,1628,1628,0
Uruguay,Artigas,2021-03-05,UY,UY-AR,1884,1884,0
Uruguay,Artigas,2021-03-08,UY,UY-AR,2419,2419,0
Uruguay,Artigas,2021-03-09,UY,UY-AR,2854,2854,0
Uruguay,Artigas,2021-03-10,UY,UY-AR,3325,3325,0
Uruguay,Artigas,2021-03-11,UY,UY-AR,3653,3653,0
Uruguay,Artigas,2021-03-12,UY,UY-AR,4014,4014,0
Uruguay,Artigas,2021-03-13,UY,UY-AR,4251,4251,0
Uruguay,Artigas,2021-03-15,UY,UY-AR,5776,5776,0
Uruguay,Artigas,2021-03-16,UY,UY-AR,6632,6632,0
Uruguay,Artigas,2021-03-17,UY,UY-AR,8124,8124,0
Uruguay,Artigas,2021-03-18,UY,UY-AR,8681,8681,0
Uruguay,Artigas,2021-03-19,UY,UY-AR,9170,9170,0
Uruguay,Artigas,2021-03-20,UY,UY-AR,9376,9376,0
Uruguay,Artigas,2021-03-22,UY,UY-AR,10475,10475,0
Uruguay,Artigas,2021-03-23,UY,UY-AR,11630,11630,0
Uruguay,Artigas,2021-03-24,UY,UY-AR,12880,12880,0
Uruguay,Artigas,2021-03-25,UY,UY-AR,14071,14071,0
Uruguay,Artigas,2021-03-26,UY,UY-AR,15254,15254,0
Uruguay,Artigas,2021-03-27,UY,UY-AR,15655,15651,4
Uruguay,Artigas,2021-03-28,UY,UY-AR,15655,15647,4
Uruguay,Artigas,2021-03-29,UY,UY-AR,17163,16668,487
Uruguay,Artigas,2021-03-30,UY,UY-AR,18379,17024,860
Uruguay,Artigas,2021-03-31,UY,UY-AR,19909,18731,1178
Uruguay,Artigas,2021-04-01,UY,UY-AR,21229,19820,1409
Uruguay,Artigas,2021-04-02,UY,UY-AR,22556,20909,1647
Uruguay,Artigas,2021-04-03,UY,UY-AR,22563,20916,1647
Uruguay,Artigas,2021-04-05,UY,UY-AR,23094,20939,2155
Uruguay,Artigas,2021-04-06,UY,UY-AR,24100,21535,2565
Uruguay,Artigas,2021-04-07,UY,UY-AR,25256,22251,3005
Uruguay,Artigas,2021-04-08,UY,UY-AR,26591,23273,3318
Uruguay,Artigas,2021-04-09,UY,UY-AR,26911,23310,3601
Uruguay,Artigas,2021-04-10,UY,UY-AR,27530,23750,3780
Uruguay,Artigas,2021-04-12,UY,UY-AR,29394,24130,5264
Uruguay,Artigas,2021-04-13,UY,UY-AR,31423,25219,6204
Uruguay,Artigas,2021-04-14,UY,UY-AR,33504,26010,7494
Uruguay,Artigas,2021-04-15,UY,UY-AR,35226,27076,8150
Uruguay,Artigas,2021-04-16,UY,UY-AR,36702,28008,8694
Uruguay,Artigas,2021-04-17,UY,UY-AR,37530,28649,8881
Uruguay,Artigas,2021-04-18,UY,UY-AR,38328,29425,8903
Uruguay,Artigas,2021-04-19,UY,UY-AR,39737,29775,9962
Uruguay,Artigas,2021-04-20,UY,UY-AR,41169,30312,10857
Uruguay,Artigas,2021-04-21,UY,UY-AR,42832,30789,12043
Uruguay,Artigas,2021-04-22,UY,UY-AR,44227,31006,13221
Uruguay,Artigas,2021-04-23,UY,UY-AR,45635,31311,14324
Uruguay,Artigas,2021-04-24,UY,UY-AR,46613,31893,14720
Uruguay,Artigas,2021-04-26,UY,UY-AR,47962,32251,15711
Uruguay,Artigas,2021-04-27,UY,UY-AR,49603,32788,16815
Uruguay,Artigas,2021-04-28,UY,UY-AR,51109,33138,17971
Uruguay,Artigas,2021-04-29,UY,UY-AR,52497,33467,19030
Uruguay,Artigas,2021-04-30,UY,UY-AR,53891,33832,20059
Uruguay,Artigas,2021-05-03,UY,UY-AR,54077,33996,20081
Uruguay,Artigas,2021-05-04,UY,UY-AR,54682,34056,20626
Uruguay,Artigas,2021-05-05,UY,UY-AR,55554,34227,21327
Uruguay,Artigas,2021-05-06,UY,UY-AR,56508,34294,22214
Uruguay,Artigas,2021-05-08,UY,UY-AR,56516,34302,22214
Uruguay,Canelones,2021-02-27,UY,UY-CA,27,27,0
Uruguay,Canelones,2021-03-01,UY,UY-CA,1395,1395,0
Uruguay,Canelones,2021-03-02,UY,UY-CA,3051,3051,0
Uruguay,Canelones,2021-03-03,UY,UY-CA,5182,5182,0
Uruguay,Canelones,2021-03-04,UY,UY-CA,6701,6701,0
Uruguay,Canelones,2021-03-05,UY,UY-CA,8080,8080,0
Uruguay,Canelones,2021-03-08,UY,UY-CA,10754,10754,0
Uruguay,Canelones,2021-03-09,UY,UY-CA,13344,13344,0
Uruguay,Canelones,2021-03-10,UY,UY-CA,16163,16163,0
Uruguay,Canelones,2021-03-11,UY,UY-CA,17543,17543,0
Uruguay,Canelones,2021-03-12,UY,UY-CA,19857,19857,0
