date,location,region,total_vaccinations
2020-12-27,Italy,Abruzzo,135
2020-12-27,Italy,Veneto,880
2020-12-27,Italy,Umbria,144
2020-12-27,Italy,Toscana,620
2020-12-27,Italy,Sicilia,90
2020-12-27,Italy,Sardegna,65
2020-12-27,Italy,Puglia,555
2020-12-27,Italy,Piemonte,908
2020-12-27,Italy,Provincia Autonoma di Trento,100
2020-12-27,Italy,Provincia Autonoma di Bolzano,144
2020-12-27,Italy,Molise,50
2020-12-27,Italy,Valle d'Aosta,20
2020-12-27,Italy,Lombardia,766
2020-12-27,Italy,Liguria,135
2020-12-27,Italy,Lazio,179
2020-12-27,Italy,Friuli Venezia Giulia,263
2020-12-27,Italy,Emilia-Romagna,963
2020-12-27,Italy,Campania,719
2020-12-27,Italy,Calabria,274
2020-12-27,Italy,Basilicata,208
2020-12-27,Italy,Marche,200
2020-12-28,Italy,Sicilia,304
2020-12-28,Italy,Sardegna,130
2020-12-28,Italy,Provincia Autonoma di Bolzano,144
2020-12-28,Italy,Lombardia,1157
2020-12-28,Italy,Lazio,746
2020-12-28,Italy,Calabria,279
2020-12-28,Italy,Liguria,215
2020-12-29,Italy,Lazio,1097
2020-12-29,Italy,Liguria,340
2020-12-29,Italy,Lombardia,1573
2020-12-29,Italy,Sardegna,180
2020-12-29,Italy,Sicilia,539
2020-12-30,Italy,Provincia Autonoma di Bolzano,527
2020-12-30,Italy,Veneto,1578
2020-12-30,Italy,Toscana,922
2020-12-30,Italy,Sicilia,778
2020-12-30,Italy,Marche,217
2020-12-30,Italy,Piemonte,1632
2020-12-30,Italy,Liguria,352
2020-12-30,Italy,Lombardia,1701
2020-12-30,Italy,Lazio,2701
2020-12-30,Italy,Friuli Venezia Giulia,894
2020-12-31,Italy,Valle d'Aosta,38
2020-12-31,Italy,Umbria,395
2020-12-31,Italy,Toscana,1683
2020-12-31,Italy,Sicilia,1673
2020-12-31,Italy,Sardegna,212
2020-12-31,Italy,Puglia,1829
2020-12-31,Italy,Piemonte,5461
2020-12-31,Italy,Provincia Autonoma di Trento,1594
2020-12-31,Italy,Veneto,4783
2020-12-31,Italy,Marche,601
2020-12-31,Italy,Lombardia,2414
2020-12-31,Italy,Liguria,1287
2020-12-31,Italy,Lazio,7608
2020-12-31,Italy,Friuli Venezia Giulia,1947
2020-12-31,Italy,Emilia-Romagna,3065
2020-12-31,Italy,Campania,2206
2020-12-31,Italy,Provincia Autonoma di Bolzano,971
2021-01-01,Italy,Veneto,6303
2021-01-01,Italy,Umbria,676
2021-01-01,Italy,Toscana,4048
2021-01-01,Italy,Sicilia,2494
2021-01-01,Italy,Sardegna,242
2021-01-01,Italy,Puglia,2008
2021-01-01,Italy,Piemonte,6495
2021-01-01,Italy,Lombardia,2438
2021-01-01,Italy,Liguria,1431
2021-01-01,Italy,Lazio,11153
2021-01-01,Italy,Campania,3123
2021-01-01,Italy,Provincia Autonoma di Trento,1803
2021-01-02,Italy,Provincia Autonoma di Bolzano,1037
2021-01-02,Italy,Veneto,12026
2021-01-02,Italy,Umbria,980
2021-01-02,Italy,Toscana,7541
2021-01-02,Italy,Sicilia,7466
2021-01-02,Italy,Sardegna,302
2021-01-02,Italy,Puglia,4911
2021-01-02,Italy,Piemonte,10024
2021-01-02,Italy,Provincia Autonoma di Trento,2304
2021-01-02,Italy,Marche,1116
2021-01-02,Italy,Valle d'Aosta,44
2021-01-02,Italy,Liguria,2123
2021-01-02,Italy,Lombardia,2638
2021-01-02,Italy,Basilicata,1093
2021-01-02,Italy,Calabria,448
2021-01-02,Italy,Campania,6789
2021-01-02,Italy,Abruzzo,685
2021-01-02,Italy,Friuli Venezia Giulia,3164
2021-01-02,Italy,Lazio,17881
2021-01-02,Italy,Emilia-Romagna,5334
2021-01-03,Italy,Provincia Autonoma di Trento,2797
2021-01-03,Italy,Veneto,17108
2021-01-03,Italy,Umbria,1250
2021-01-03,Italy,Toscana,10907
2021-01-03,Italy,Sicilia,12164
2021-01-03,Italy,Sardegna,392
2021-01-03,Italy,Puglia,6832
2021-01-03,Italy,Piemonte,13078
2021-01-03,Italy,Marche,2013
2021-01-03,Italy,Lombardia,3473
2021-01-03,Italy,Liguria,2816
2021-01-03,Italy,Lazio,23068
2021-01-03,Italy,Friuli Venezia Giulia,3476
2021-01-03,Italy,Emilia-Romagna,8062
2021-01-03,Italy,Campania,10620
2021-01-03,Italy,Calabria,453
2021-01-03,Italy,Basilicata,1816
2021-01-03,Italy,Abruzzo,1249
2021-01-04,Italy,Provincia Autonoma di Trento,3621
2021-01-04,Italy,Piemonte,18608
2021-01-04,Italy,Puglia,10923
2021-01-04,Italy,Sardegna,965
2021-01-04,Italy,Veneto,23708
2021-01-04,Italy,Toscana,15956
2021-01-04,Italy,Umbria,2057
2021-01-04,Italy,Valle d'Aosta,186
2021-01-04,Italy,Provincia Autonoma di Bolzano,1490
2021-01-04,Italy,Sicilia,20542
2021-01-04,Italy,Molise,358
2021-01-04,Italy,Basilicata,2223
2021-01-04,Italy,Lombardia,10580
2021-01-04,Italy,Liguria,5449
2021-01-04,Italy,Lazio,30420
2021-01-04,Italy,Friuli Venezia Giulia,4985
2021-01-04,Italy,Emilia-Romagna,15263
2021-01-04,Italy,Campania,16440
2021-01-04,Italy,Calabria,1541
2021-01-04,Italy,Abruzzo,2660
2021-01-04,Italy,Marche,3398
2021-01-05,Italy,Provincia Autonoma di Trento,4315
2021-01-05,Italy,Piemonte,23964
2021-01-05,Italy,Puglia,16303
2021-01-05,Italy,Sardegna,2212
2021-01-05,Italy,Valle d'Aosta,336
2021-01-05,Italy,Toscana,21194
2021-01-05,Italy,Umbria,2913
2021-01-05,Italy,Veneto,31009
2021-01-05,Italy,Provincia Autonoma di Bolzano,2307
2021-01-05,Italy,Sicilia,31130
2021-01-05,Italy,Molise,806
2021-01-05,Italy,Basilicata,2871
2021-01-05,Italy,Lombardia,18485
2021-01-05,Italy,Abruzzo,4277
2021-01-05,Italy,Calabria,3116
2021-01-05,Italy,Campania,23597
2021-01-05,Italy,Emilia-Romagna,24325
2021-01-05,Italy,Marche,4900
2021-01-05,Italy,Lazio,37183
2021-01-05,Italy,Liguria,8327
2021-01-05,Italy,Friuli Venezia Giulia,6667
2021-01-06,Italy,Provincia Autonoma di Bolzano,2367
2021-01-06,Italy,Valle d'Aosta,402
2021-01-06,Italy,Umbria,3759
2021-01-06,Italy,Toscana,25660
2021-01-06,Italy,Sicilia,37612
2021-01-06,Italy,Sardegna,3799
2021-01-06,Italy,Puglia,19851
2021-01-06,Italy,Piemonte,27066
2021-01-06,Italy,Provincia Autonoma di Trento,4357
2021-01-06,Italy,Veneto,39073
2021-01-06,Italy,Molise,1486
2021-01-06,Italy,Lombardia,25909
2021-01-06,Italy,Liguria,9982
2021-01-06,Italy,Lazio,42037
2021-01-06,Italy,Friuli Venezia Giulia,7376
2021-01-06,Italy,Emilia-Romagna,32376
2021-01-06,Italy,Campania,31255
2021-01-06,Italy,Calabria,4190
2021-01-06,Italy,Basilicata,3091
2021-01-06,Italy,Abruzzo,5997
2021-01-06,Italy,Marche,7038
2021-01-07,Italy,Provincia Autonoma di Trento,5628
2021-01-07,Italy,Piemonte,32397
2021-01-07,Italy,Puglia,25061
2021-01-07,Italy,Sardegna,6865
2021-01-07,Italy,Provincia Autonoma di Bolzano,3181
2021-01-07,Italy,Toscana,31643
2021-01-07,Italy,Umbria,5165
2021-01-07,Italy,Valle d'Aosta,681
2021-01-07,Italy,Veneto,47390
2021-01-07,Italy,Sicilia,47089
2021-01-07,Italy,Molise,2080
2021-01-07,Italy,Lombardia,36903
2021-01-07,Italy,Basilicata,3738
2021-01-07,Italy,Calabria,7070
2021-01-07,Italy,Campania,40128
2021-01-07,Italy,Emilia-Romagna,42328
2021-01-07,Italy,Abruzzo,7713
2021-01-07,Italy,Marche,9087
2021-01-07,Italy,Lazio,49479
2021-01-07,Italy,Liguria,13166
2021-01-07,Italy,Friuli Venezia Giulia,9470
2021-01-08,Italy,Provincia Autonoma di Trento,7117
2021-01-08,Italy,Veneto,56729
2021-01-08,Italy,Valle d'Aosta,980
2021-01-08,Italy,Umbria,6345
2021-01-08,Italy,Toscana,37591
2021-01-08,Italy,Sicilia,55142
2021-01-08,Italy,Sardegna,10107
2021-01-08,Italy,Puglia,29994
2021-01-08,Italy,Piemonte,37906
2021-01-08,Italy,Provincia Autonoma di Bolzano,4607
2021-01-08,Italy,Molise,2509
2021-01-08,Italy,Abruzzo,9351
2021-01-08,Italy,Lombardia,48565
2021-01-08,Italy,Liguria,15903
2021-01-08,Italy,Lazio,56720
2021-01-08,Italy,Friuli Venezia Giulia,11789
2021-01-08,Italy,Emilia-Romagna,52552
2021-01-08,Italy,Campania,50581
2021-01-08,Italy,Calabria,8360
2021-01-08,Italy,Basilicata,4075
2021-01-08,Italy,Marche,10659
2021-01-09,Italy,Provincia Autonoma di Trento,7303
2021-01-09,Italy,Piemonte,44049
2021-01-09,Italy,Puglia,35055
2021-01-09,Italy,Sardegna,14108
2021-01-09,Italy,Provincia Autonoma di Bolzano,4917
2021-01-09,Italy,Toscana,42071
2021-01-09,Italy,Umbria,8018
2021-01-09,Italy,Valle d'Aosta,1423
2021-01-09,Italy,Veneto,64597
2021-01-09,Italy,Sicilia,62254
2021-01-09,Italy,Molise,2958
2021-01-09,Italy,Lombardia,60824
2021-01-09,Italy,Abruzzo,10834
2021-01-09,Italy,Basilicata,4537
2021-01-09,Italy,Calabria,10141
2021-01-09,Italy,Campania,61108
2021-01-09,Italy,Emilia-Romagna,61949
2021-01-09,Italy,Marche,12370
2021-01-09,Italy,Lazio,62758
2021-01-09,Italy,Liguria,17235
2021-01-09,Italy,Friuli Venezia Giulia,14302
2021-01-10,Italy,Provincia Autonoma di Trento,7381
2021-01-10,Italy,Veneto,69603
2021-01-10,Italy,Valle d'Aosta,1643
2021-01-10,Italy,Umbria,9001
2021-01-10,Italy,Toscana,45034
2021-01-10,Italy,Sicilia,65825
2021-01-10,Italy,Sardegna,16281
2021-01-10,Italy,Puglia,37198
2021-01-10,Italy,Piemonte,49228
2021-01-10,Italy,Marche,14130
2021-01-10,Italy,Lazio,66602
2021-01-10,Italy,Lombardia,71461
2021-01-10,Italy,Liguria,18090
2021-01-10,Italy,Friuli Venezia Giulia,17238
2021-01-10,Italy,Emilia-Romagna,68837
2021-01-10,Italy,Campania,69254
2021-01-10,Italy,Calabria,11237
2021-01-10,Italy,Abruzzo,11972
2021-01-10,Italy,Molise,3227
2021-01-11,Italy,Puglia,40275
2021-01-11,Italy,Provincia Autonoma di Trento,8113
2021-01-11,Italy,Piemonte,57908
2021-01-11,Italy,Sardegna,17460
2021-01-11,Italy,Provincia Autonoma di Bolzano,6313
2021-01-11,Italy,Veneto,76318
2021-01-11,Italy,Umbria,10207
2021-01-11,Italy,Valle d'Aosta,1969
2021-01-11,Italy,Sicilia,71351
2021-01-11,Italy,Molise,3784
2021-01-11,Italy,Toscana,50118
2021-01-11,Italy,Lombardia,86621
2021-01-11,Italy,Abruzzo,13527
2021-01-11,Italy,Basilicata,4697
2021-01-11,Italy,Calabria,12781
2021-01-11,Italy,Campania,73217
2021-01-11,Italy,Marche,15244
2021-01-11,Italy,Friuli Venezia Giulia,19111
2021-01-11,Italy,Lazio,72044
2021-01-11,Italy,Liguria,20630
2021-01-11,Italy,Emilia-Romagna,77730
2021-01-12,Italy,Provincia Autonoma di Bolzano,7968
2021-01-12,Italy,Veneto,81505
2021-01-12,Italy,Valle d'Aosta,2270
2021-01-12,Italy,Umbria,11041
2021-01-12,Italy,Toscana,53698
2021-01-12,Italy,Sicilia,75749
2021-01-12,Italy,Sardegna,18325
2021-01-12,Italy,Puglia,43943
2021-01-12,Italy,Piemonte,67875
2021-01-12,Italy,Provincia Autonoma di Trento,8622
2021-01-12,Italy,Molise,4120
2021-01-12,Italy,Marche,16375
2021-01-12,Italy,Lombardia,104462
2021-01-12,Italy,Basilicata,4919
2021-01-12,Italy,Calabria,14073
2021-01-12,Italy,Campania,78531
2021-01-12,Italy,Emilia-Romagna,86700
2021-01-12,Italy,Abruzzo,15509
2021-01-12,Italy,Lazio,77027
2021-01-12,Italy,Liguria,22837
2021-01-12,Italy,Friuli Venezia Giulia,21359
2021-01-13,Italy,Provincia Autonoma di Bolzano,9486
2021-01-13,Italy,Valle d'Aosta,2630
2021-01-13,Italy,Umbria,11491
2021-01-13,Italy,Toscana,57717
2021-01-13,Italy,Veneto,86806
2021-01-13,Italy,Sardegna,18897
2021-01-13,Italy,Puglia,48558
2021-01-13,Italy,Piemonte,77849
2021-01-13,Italy,Provincia Autonoma di Trento,9036
2021-01-13,Italy,Molise,4592
2021-01-13,Italy,Sicilia,80847
2021-01-13,Italy,Lombardia,125880
2021-01-13,Italy,Liguria,25257
2021-01-13,Italy,Lazio,82194
2021-01-13,Italy,Friuli Venezia Giulia,23564
2021-01-13,Italy,Emilia-Romagna,95206
2021-01-13,Italy,Campania,86456
