location,region,date,location_iso,region_iso,total_vaccinations,people_vaccinated,people_fully_vaccinated
Argentina,Buenos Aires,2021-01-20,AR,AR-B,93584,93507,77
Argentina,Buenos Aires,2021-01-25,AR,AR-B,102457,99313,3144
Argentina,Buenos Aires,2021-01-26,AR,AR-B,107343,103828,3515
Argentina,Buenos Aires,2021-01-28,AR,AR-B,111264,107284,3980
Argentina,Buenos Aires,2021-01-29,AR,AR-B,114444,110012,4432
Argentina,Buenos Aires,2021-01-30,AR,AR-B,130242,111795,18447
Argentina,Buenos Aires,2021-02-01,AR,AR-B,135665,111975,23690
Argentina,Buenos Aires,2021-02-02,AR,AR-B,145709,113717,31992
Argentina,Catamarca,2021-01-20,AR,AR-K,2739,2500,239
Argentina,Catamarca,2021-01-25,AR,AR-K,3049,2507,542
Argentina,Catamarca,2021-01-26,AR,AR-K,3287,2507,780
Argentina,Catamarca,2021-01-28,AR,AR-K,3571,2511,1060
Argentina,Catamarca,2021-01-29,AR,AR-K,3661,2530,1131
Argentina,Catamarca,2021-01-30,AR,AR-K,4257,2533,1724
Argentina,Catamarca,2021-02-01,AR,AR-K,4538,2535,2003
Argentina,Catamarca,2021-02-02,AR,AR-K,4815,2536,2279
Argentina,Chaco,2021-01-20,AR,AR-H,7041,7037,4
Argentina,Chaco,2021-01-25,AR,AR-H,9005,7622,1383
Argentina,Chaco,2021-01-26,AR,AR-H,9561,7738,1823
Argentina,Chaco,2021-01-28,AR,AR-H,9720,7752,1968
Argentina,Chaco,2021-01-29,AR,AR-H,10075,7766,2309
Argentina,Chaco,2021-01-30,AR,AR-H,11318,7891,3427
Argentina,Chaco,2021-02-01,AR,AR-H,11451,7897,3554
Argentina,Chaco,2021-02-02,AR,AR-H,12002,7911,4091
Argentina,Chubut,2021-01-20,AR,AR-U,2502,2502,0
Argentina,Chubut,2021-01-25,AR,AR-U,3109,2906,203
Argentina,Chubut,2021-01-26,AR,AR-U,3215,2919,296
Argentina,Chubut,2021-01-28,AR,AR-U,3359,2926,433
Argentina,Chubut,2021-01-29,AR,AR-U,3477,2936,541
Argentina,Chubut,2021-01-30,AR,AR-U,3926,2974,952
Argentina,Chubut,2021-02-01,AR,AR-U,4013,3014,999
